pack_style,open_read,pack_name,card_name,card_content
活动卡,2018-01-15,国王的盛宴,活动目的：多感官体验,"给宝宝多种感官体验。帮宝宝有意识地处理感官信息。

好多美味的食物，太丰盛了，像是国王的盛宴一样。宝宝看一看，闻一闻，摸一摸，尝一尝，捏一捏，用各种方式来认识它们。Yummy! "
,2018-01-15,国王的盛宴,吃饭不止用嘴哦,"![](http://pics.ibrainbaby.cn/xiaoxiao4.1.jpg)

吃是一种多感官体验！"
,2018-01-15,国王的盛宴,你需要准备,"香蕉，手指饼干，牛奶等。  
只要是宝宝平时吃的食物，都可以。  

![](http://pics.ibrainbaby.cn/xiaoxiao4.2.jpg)"
,2018-01-15,国王的盛宴,活动步骤1,"你抱宝宝坐在宝宝餐椅上，你在他身边的桌上准备食材。拿一个完整的香蕉，给宝宝先把玩着。你另外取香蕉切成宝宝可以吃的形状。  

![](http://pics.ibrainbaby.cn/xiaoxiao4.3.jpg)"
,2018-01-15,国王的盛宴,活动步骤2,"把准备好的食物一样一样放到宝宝面前，对说：“请宝宝开吃喽。”然后在宝宝吃食物的时候，给他当“解说员”，从气味、口感、声音、颜色、温度各方面描述他当下的感觉。

跟宝宝介绍香蕉：看，香蕉是黄色的，你刚才摸到，香蕉皮是光溜溜的，对不对？来，闻一闻，香不香？哇，宝宝已经吃了，甜不甜？香蕉咬起来软软滑滑的呢。"
,2018-01-15,国王的盛宴,活动步骤3,"介绍手指饼干：这个饼干是长条形的，宝宝自己能拿稳。摸起来有一点点粗糙是吗？嚼一嚼，嘎吱，香香脆脆的。  

![](http://pics.ibrainbaby.cn/xiaoxiao4.4.jpg)  
 
介绍牛奶：看，这是白色的牛奶。宝宝摸摸杯子，还热着呢。哎呀，牛奶洒了一点出来，可不容易拿起来。"
,2018-01-15,国王的盛宴,活动步骤4,"问问宝宝：最喜欢吃哪一个？如果他指向或说出其中一种食物，你就再描述一遍这个食物的特点，帮助宝宝加深记忆。  

![](http://pics.ibrainbaby.cn/xiaoxiao4.5.jpg)   

宝宝吃完之后，抱宝宝离开餐椅。美味的一餐结束了，宝宝的大脑和身体都获得好多营养！"
,2018-01-15,国王的盛宴,小提示,"宝宝可能还不太会说，但他会听到你说的话。你的语言描述可以帮助宝宝把口头语言符号与他自己的感觉联系起来，将现在的感觉与过去的知识联系起来。这个输入的过程必不可少，可别嫌自己话多。  

不要怕脏乱。宝宝抓、捏食物，拍打泼出来的牛奶，都是在用手感知食物，探索食物的特征。你就允许他体验吧。    

![](http://pics.ibrainbaby.cn/xiaoxiao4.6.jpg)"
,2018-01-15,国王的盛宴,学点脑科学,"你在认识一个事物时，会调用所有的感官通道。将不同的感觉整合起来，才能识别正确。比如，如果你关闭视觉和嗅觉通道，闭上眼睛、捏住鼻子，吃青椒和洋葱，感觉可能是一样的，都是脆脆的口感。你可以试试看哦！  
 
宝宝探索世界也是一样的，眼手耳鼻口，全身都会用上。多感官体验，有助于加深宝宝的学习和记忆。在日常生活中，你就可以有意识地为宝宝提供丰富的感官刺激。接收和识别到多种多样的感觉信息，宝宝才有学习的材料。"

